pathways	symbol	type
Glycolysis / Gluconeogenesis	HK3	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HK1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HK2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	HKDC1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GCK	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GPI	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKP	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PFKL	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	FBP1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	FBP2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOC	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOA	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDOB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	TPI1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GAPDH	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GAPDHS	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGK2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGK1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGAM4	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO3	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ENO4	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PKM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PKLR	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHA2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHA1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PDHB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	DLAT	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	DLD	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHAL6A	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHAL6B	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHA	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHB	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	LDHC	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH1A	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH1B	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH1C	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH7	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH4	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH5	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADH6	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	AKR1A1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH3A2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH1B1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH7A1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH9A1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH3B1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH3B2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ALDH3A1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ACSS1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ACSS2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	GALM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGM1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PGM2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	G6PC1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	G6PC2	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	G6PC3	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	ADPGK	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	BPGM	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	MINPP1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PCK1	Carbohydrate metabolism
Glycolysis / Gluconeogenesis	PCK2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	CS	Carbohydrate metabolism
Citrate cycle (TCA cycle)	ACLY	Carbohydrate metabolism
Citrate cycle (TCA cycle)	ACO2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	ACO1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	IDH1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	IDH2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	IDH3B	Carbohydrate metabolism
Citrate cycle (TCA cycle)	IDH3G	Carbohydrate metabolism
Citrate cycle (TCA cycle)	IDH3A	Carbohydrate metabolism
Citrate cycle (TCA cycle)	OGDHL	Carbohydrate metabolism
Citrate cycle (TCA cycle)	OGDH	Carbohydrate metabolism
Citrate cycle (TCA cycle)	DLST	Carbohydrate metabolism
Citrate cycle (TCA cycle)	DLD	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SUCLG1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SUCLG2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SUCLA2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SDHA	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SDHB	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SDHC	Carbohydrate metabolism
Citrate cycle (TCA cycle)	SDHD	Carbohydrate metabolism
Citrate cycle (TCA cycle)	FH	Carbohydrate metabolism
Citrate cycle (TCA cycle)	MDH1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	MDH2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PC	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PCK1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PCK2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PDHA2	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PDHA1	Carbohydrate metabolism
Citrate cycle (TCA cycle)	PDHB	Carbohydrate metabolism
Citrate cycle (TCA cycle)	DLAT	Carbohydrate metabolism
Pentose phosphate pathway	GPI	Carbohydrate metabolism
Pentose phosphate pathway	G6PD	Carbohydrate metabolism
Pentose phosphate pathway	PGLS	Carbohydrate metabolism
Pentose phosphate pathway	H6PD	Carbohydrate metabolism
Pentose phosphate pathway	PGD	Carbohydrate metabolism
Pentose phosphate pathway	RPE	Carbohydrate metabolism
Pentose phosphate pathway	RPEL1	Carbohydrate metabolism
Pentose phosphate pathway	TKT	Carbohydrate metabolism
Pentose phosphate pathway	TKTL2	Carbohydrate metabolism
Pentose phosphate pathway	TKTL1	Carbohydrate metabolism
Pentose phosphate pathway	TALDO1	Carbohydrate metabolism
Pentose phosphate pathway	RPIA	Carbohydrate metabolism
Pentose phosphate pathway	DERA	Carbohydrate metabolism
Pentose phosphate pathway	RBKS	Carbohydrate metabolism
Pentose phosphate pathway	PGM1	Carbohydrate metabolism
Pentose phosphate pathway	PGM2	Carbohydrate metabolism
Pentose phosphate pathway	PRPS1L1	Carbohydrate metabolism
Pentose phosphate pathway	PRPS2	Carbohydrate metabolism
Pentose phosphate pathway	PRPS1	Carbohydrate metabolism
Pentose phosphate pathway	RGN	Carbohydrate metabolism
Pentose phosphate pathway	IDNK	Carbohydrate metabolism
Pentose phosphate pathway	GLYCTK	Carbohydrate metabolism
Pentose phosphate pathway	ALDOC	Carbohydrate metabolism
Pentose phosphate pathway	ALDOA	Carbohydrate metabolism
Pentose phosphate pathway	ALDOB	Carbohydrate metabolism
Pentose phosphate pathway	FBP1	Carbohydrate metabolism
Pentose phosphate pathway	FBP2	Carbohydrate metabolism
Pentose phosphate pathway	PFKM	Carbohydrate metabolism
Pentose phosphate pathway	PFKP	Carbohydrate metabolism
Pentose phosphate pathway	PFKL	Carbohydrate metabolism
Pentose and glucuronate interconversions	GUSB	Carbohydrate metabolism
Pentose and glucuronate interconversions	KL	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2A1	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2A3	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B17	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B11	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B28	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A6	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A4	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A1	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A3	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B10	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A9	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B7	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A10	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A8	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A5	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B15	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT1A7	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2B4	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGT2A2	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGDH	Carbohydrate metabolism
Pentose and glucuronate interconversions	UGP2	Carbohydrate metabolism
Pentose and glucuronate interconversions	AKR1A1	Carbohydrate metabolism
Pentose and glucuronate interconversions	CRYL1	Carbohydrate metabolism
Pentose and glucuronate interconversions	RPE	Carbohydrate metabolism
Pentose and glucuronate interconversions	RPEL1	Carbohydrate metabolism
Pentose and glucuronate interconversions	XYLB	Carbohydrate metabolism
Pentose and glucuronate interconversions	AKR1B1	Carbohydrate metabolism
Pentose and glucuronate interconversions	AKR1B10	Carbohydrate metabolism
Pentose and glucuronate interconversions	AKR1B15	Carbohydrate metabolism
Pentose and glucuronate interconversions	DCXR	Carbohydrate metabolism
Pentose and glucuronate interconversions	SORD	Carbohydrate metabolism
Pentose and glucuronate interconversions	DHDH	Carbohydrate metabolism
Pentose and glucuronate interconversions	FGGY	Carbohydrate metabolism
Pentose and glucuronate interconversions	CRPPA	Carbohydrate metabolism
Fructose and mannose metabolism	MPI	Carbohydrate metabolism
Fructose and mannose metabolism	PMM2	Carbohydrate metabolism
Fructose and mannose metabolism	PMM1	Carbohydrate metabolism
Fructose and mannose metabolism	GMPPB	Carbohydrate metabolism
Fructose and mannose metabolism	GMPPA	Carbohydrate metabolism
Fructose and mannose metabolism	GMDS	Carbohydrate metabolism
Fructose and mannose metabolism	GFUS	Carbohydrate metabolism
Fructose and mannose metabolism	FPGT	Carbohydrate metabolism
Fructose and mannose metabolism	FCSK	Carbohydrate metabolism
Fructose and mannose metabolism	ENOSF1	Carbohydrate metabolism
Fructose and mannose metabolism	HK3	Carbohydrate metabolism
Fructose and mannose metabolism	HK1	Carbohydrate metabolism
Fructose and mannose metabolism	HK2	Carbohydrate metabolism
Fructose and mannose metabolism	HKDC1	Carbohydrate metabolism
Fructose and mannose metabolism	PFKM	Carbohydrate metabolism
Fructose and mannose metabolism	PFKP	Carbohydrate metabolism
Fructose and mannose metabolism	PFKL	Carbohydrate metabolism
Fructose and mannose metabolism	FBP1	Carbohydrate metabolism
Fructose and mannose metabolism	FBP2	Carbohydrate metabolism
Fructose and mannose metabolism	PFKFB1	Carbohydrate metabolism
Fructose and mannose metabolism	PFKFB2	Carbohydrate metabolism
Fructose and mannose metabolism	PFKFB3	Carbohydrate metabolism
Fructose and mannose metabolism	PFKFB4	Carbohydrate metabolism
Fructose and mannose metabolism	TIGAR	Carbohydrate metabolism
Fructose and mannose metabolism	KHK	Carbohydrate metabolism
Fructose and mannose metabolism	SORD	Carbohydrate metabolism
Fructose and mannose metabolism	AKR1B1	Carbohydrate metabolism
Fructose and mannose metabolism	AKR1B10	Carbohydrate metabolism
Fructose and mannose metabolism	AKR1B15	Carbohydrate metabolism
Fructose and mannose metabolism	ALDOC	Carbohydrate metabolism
Fructose and mannose metabolism	ALDOA	Carbohydrate metabolism
Fructose and mannose metabolism	ALDOB	Carbohydrate metabolism
Fructose and mannose metabolism	TPI1	Carbohydrate metabolism
Fructose and mannose metabolism	TKFC	Carbohydrate metabolism
Galactose metabolism	GALM	Carbohydrate metabolism
Galactose metabolism	GALK1	Carbohydrate metabolism
Galactose metabolism	GALT	Carbohydrate metabolism
Galactose metabolism	GALE	Carbohydrate metabolism
Galactose metabolism	UGP2	Carbohydrate metabolism
Galactose metabolism	PGM1	Carbohydrate metabolism
Galactose metabolism	PGM2	Carbohydrate metabolism
Galactose metabolism	HK3	Carbohydrate metabolism
Galactose metabolism	HK1	Carbohydrate metabolism
Galactose metabolism	HK2	Carbohydrate metabolism
Galactose metabolism	HKDC1	Carbohydrate metabolism
Galactose metabolism	GCK	Carbohydrate metabolism
Galactose metabolism	G6PC1	Carbohydrate metabolism
Galactose metabolism	G6PC2	Carbohydrate metabolism
Galactose metabolism	G6PC3	Carbohydrate metabolism
Galactose metabolism	GLB1	Carbohydrate metabolism
Galactose metabolism	LCT	Carbohydrate metabolism
Galactose metabolism	LALBA	Carbohydrate metabolism
Galactose metabolism	B4GALT1	Carbohydrate metabolism
Galactose metabolism	B4GALT2	Carbohydrate metabolism
Galactose metabolism	GLA	Carbohydrate metabolism
Galactose metabolism	AKR1B1	Carbohydrate metabolism
Galactose metabolism	AKR1B10	Carbohydrate metabolism
Galactose metabolism	AKR1B15	Carbohydrate metabolism
Galactose metabolism	PFKM	Carbohydrate metabolism
Galactose metabolism	PFKP	Carbohydrate metabolism
Galactose metabolism	PFKL	Carbohydrate metabolism
Galactose metabolism	MGAM	Carbohydrate metabolism
Galactose metabolism	MGAM2	Carbohydrate metabolism
Galactose metabolism	GAA	Carbohydrate metabolism
Galactose metabolism	GANC	Carbohydrate metabolism
Galactose metabolism	SI	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGDH	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2A1	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2A3	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B17	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B11	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B28	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A6	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A4	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A1	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A3	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B10	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A9	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B7	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A10	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A8	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A5	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B15	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT1A7	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2B4	Carbohydrate metabolism
Ascorbate and aldarate metabolism	UGT2A2	Carbohydrate metabolism
Ascorbate and aldarate metabolism	GUSB	Carbohydrate metabolism
Ascorbate and aldarate metabolism	KL	Carbohydrate metabolism
Ascorbate and aldarate metabolism	MIOX	Carbohydrate metabolism
Ascorbate and aldarate metabolism	AKR1A1	Carbohydrate metabolism
Ascorbate and aldarate metabolism	RGN	Carbohydrate metabolism
Ascorbate and aldarate metabolism	ALDH2	Carbohydrate metabolism
Ascorbate and aldarate metabolism	ALDH3A2	Carbohydrate metabolism
Ascorbate and aldarate metabolism	ALDH1B1	Carbohydrate metabolism
Ascorbate and aldarate metabolism	ALDH7A1	Carbohydrate metabolism
Ascorbate and aldarate metabolism	ALDH9A1	Carbohydrate metabolism
Starch and sucrose metabolism	MGAM	Carbohydrate metabolism
Starch and sucrose metabolism	MGAM2	Carbohydrate metabolism
Starch and sucrose metabolism	GAA	Carbohydrate metabolism
Starch and sucrose metabolism	GANC	Carbohydrate metabolism
Starch and sucrose metabolism	SI	Carbohydrate metabolism
Starch and sucrose metabolism	UGP2	Carbohydrate metabolism
Starch and sucrose metabolism	ENPP1	Carbohydrate metabolism
Starch and sucrose metabolism	ENPP3	Carbohydrate metabolism
Starch and sucrose metabolism	GBA3	Carbohydrate metabolism
Starch and sucrose metabolism	GYS2	Carbohydrate metabolism
Starch and sucrose metabolism	GYS1	Carbohydrate metabolism
Starch and sucrose metabolism	GYG1	Carbohydrate metabolism
Starch and sucrose metabolism	GYG2	Carbohydrate metabolism
Starch and sucrose metabolism	GBE1	Carbohydrate metabolism
Starch and sucrose metabolism	PYGL	Carbohydrate metabolism
Starch and sucrose metabolism	PYGM	Carbohydrate metabolism
Starch and sucrose metabolism	PYGB	Carbohydrate metabolism
Starch and sucrose metabolism	AGL	Carbohydrate metabolism
Starch and sucrose metabolism	AMY1C	Carbohydrate metabolism
Starch and sucrose metabolism	AMY2A	Carbohydrate metabolism
Starch and sucrose metabolism	AMY1A	Carbohydrate metabolism
Starch and sucrose metabolism	AMY2B	Carbohydrate metabolism
Starch and sucrose metabolism	AMY1B	Carbohydrate metabolism
Starch and sucrose metabolism	TREH	Carbohydrate metabolism
Starch and sucrose metabolism	PGM1	Carbohydrate metabolism
Starch and sucrose metabolism	PGM2	Carbohydrate metabolism
Starch and sucrose metabolism	HK3	Carbohydrate metabolism
Starch and sucrose metabolism	HK1	Carbohydrate metabolism
Starch and sucrose metabolism	HK2	Carbohydrate metabolism
Starch and sucrose metabolism	HKDC1	Carbohydrate metabolism
Starch and sucrose metabolism	GCK	Carbohydrate metabolism
Starch and sucrose metabolism	G6PC1	Carbohydrate metabolism
Starch and sucrose metabolism	G6PC2	Carbohydrate metabolism
Starch and sucrose metabolism	G6PC3	Carbohydrate metabolism
Starch and sucrose metabolism	PGM2L1	Carbohydrate metabolism
Starch and sucrose metabolism	GPI	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CHIA	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CHIT1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HEXA	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HEXB	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	NAGK	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	AMDHD2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GNPDA1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GNPDA2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HK3	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HK1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HK2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	HKDC1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GFPT2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GFPT1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GNPNAT1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	PGM3	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GALK2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	UAP1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	UAP1L1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GNE	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	RENBP	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	NANS	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	NANP	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	NPL	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CMAS	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CYB5R1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CYB5R3	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CYB5R2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CYB5RL	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	CYB5R4	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	UXS1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GCK	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	PGM1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	PGM2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	UGP2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	UGDH	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GALK1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GALT	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GALE	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GPI	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	MPI	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	PMM2	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	PMM1	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GMPPB	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GMPPA	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GMDS	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	GFUS	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	FCSK	Carbohydrate metabolism
Amino sugar and nucleotide sugar metabolism	FPGT	Carbohydrate metabolism
Pyruvate metabolism	ACSS1	Carbohydrate metabolism
Pyruvate metabolism	ACSS2	Carbohydrate metabolism
Pyruvate metabolism	PDHA2	Carbohydrate metabolism
Pyruvate metabolism	PDHA1	Carbohydrate metabolism
Pyruvate metabolism	PDHB	Carbohydrate metabolism
Pyruvate metabolism	DLAT	Carbohydrate metabolism
Pyruvate metabolism	DLD	Carbohydrate metabolism
Pyruvate metabolism	ADH1A	Carbohydrate metabolism
Pyruvate metabolism	ADH1B	Carbohydrate metabolism
Pyruvate metabolism	ADH1C	Carbohydrate metabolism
Pyruvate metabolism	ADH7	Carbohydrate metabolism
Pyruvate metabolism	ADH4	Carbohydrate metabolism
Pyruvate metabolism	ADH6	Carbohydrate metabolism
Pyruvate metabolism	ADH5	Carbohydrate metabolism
Pyruvate metabolism	AKR1A1	Carbohydrate metabolism
Pyruvate metabolism	PKM	Carbohydrate metabolism
Pyruvate metabolism	PKLR	Carbohydrate metabolism
Pyruvate metabolism	ACACA	Carbohydrate metabolism
Pyruvate metabolism	ACACB	Carbohydrate metabolism
Pyruvate metabolism	ACYP2	Carbohydrate metabolism
Pyruvate metabolism	ACYP1	Carbohydrate metabolism
Pyruvate metabolism	ALDH2	Carbohydrate metabolism
Pyruvate metabolism	ALDH3A2	Carbohydrate metabolism
Pyruvate metabolism	ALDH1B1	Carbohydrate metabolism
Pyruvate metabolism	ALDH7A1	Carbohydrate metabolism
Pyruvate metabolism	ALDH9A1	Carbohydrate metabolism
Pyruvate metabolism	ACOT12	Carbohydrate metabolism
Pyruvate metabolism	LDHAL6A	Carbohydrate metabolism
Pyruvate metabolism	LDHAL6B	Carbohydrate metabolism
Pyruvate metabolism	LDHA	Carbohydrate metabolism
Pyruvate metabolism	LDHB	Carbohydrate metabolism
Pyruvate metabolism	LDHC	Carbohydrate metabolism
Pyruvate metabolism	LDHD	Carbohydrate metabolism
Pyruvate metabolism	GLO1	Carbohydrate metabolism
Pyruvate metabolism	HAGH	Carbohydrate metabolism
Pyruvate metabolism	GRHPR	Carbohydrate metabolism
Pyruvate metabolism	ME2	Carbohydrate metabolism
Pyruvate metabolism	ME3	Carbohydrate metabolism
Pyruvate metabolism	ME1	Carbohydrate metabolism
Pyruvate metabolism	PC	Carbohydrate metabolism
Pyruvate metabolism	MDH1	Carbohydrate metabolism
Pyruvate metabolism	MDH2	Carbohydrate metabolism
Pyruvate metabolism	FH	Carbohydrate metabolism
Pyruvate metabolism	PCK1	Carbohydrate metabolism
Pyruvate metabolism	PCK2	Carbohydrate metabolism
Pyruvate metabolism	ACAT2	Carbohydrate metabolism
Pyruvate metabolism	ACAT1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACSS1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACSS2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	MDH1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	MDH2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	CS	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACO2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACO1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACAT2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	ACAT1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	MCEE	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	PCCA	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	PCCB	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	MMUT	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	HAO2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	HAO1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	CAT	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	GRHPR	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	PGP	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	AGXT	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	GLUL	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	SHMT2	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	SHMT1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	GLDC	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	AMT	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	DLD	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	GCSH	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	HYI	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	GLYCTK	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	HOGA1	Carbohydrate metabolism
Glyoxylate and dicarboxylate metabolism	AFMID	Carbohydrate metabolism
Propanoate metabolism	ACSS1	Carbohydrate metabolism
Propanoate metabolism	ACSS2	Carbohydrate metabolism
Propanoate metabolism	ACSS3	Carbohydrate metabolism
Propanoate metabolism	BCKDHA	Carbohydrate metabolism
Propanoate metabolism	BCKDHB	Carbohydrate metabolism
Propanoate metabolism	DBT	Carbohydrate metabolism
Propanoate metabolism	DLD	Carbohydrate metabolism
Propanoate metabolism	ACADS	Carbohydrate metabolism
Propanoate metabolism	ACOX3	Carbohydrate metabolism
Propanoate metabolism	ACOX1	Carbohydrate metabolism
Propanoate metabolism	HADHA	Carbohydrate metabolism
