from	to	cor	p.adj
RiskScore	B_cells_naive	0.0818009113895782	0.663082511731526
RiskScore	B_cells_memory	0.152520524261356	0.0129781662109757
RiskScore	Plasma_cells	0.0792212928719658	0.666137786288309
RiskScore	T_cells_CD8	0.0875670023564995	0.554707800477671
RiskScore	T_cells_CD4_naive	0.0690699773834593	0.788107843377502
RiskScore	T_cells_CD4_memory_resting	-0.0433443580826641	1
RiskScore	T_cells_CD4_memory_activated	0.124007733633303	0.0789452465743449
RiskScore	T_cells_follicular_helper	-0.127432861075192	0.0678644883600792
RiskScore	T_cells_regulatory_.Tregs.	0.215089440211717	3.44304847454908e-05
RiskScore	T_cells_gamma_delta	0.0725909104789352	0.788107843377502
RiskScore	NK_cells_resting	-0.0566379365196677	0.863848789006644
RiskScore	NK_cells_activated	0.148075049245882	0.01614260535505
RiskScore	Monocytes	0.256157507764561	2.58902633514172e-07
RiskScore	Macrophages_M0	0.21884274073061	2.38660224141662e-05
RiskScore	Macrophages_M1	0.1041373477568	0.249074433436958
RiskScore	Macrophages_M2	-0.00483665773022082	1
RiskScore	Dendritic_cells_resting	0.0676566715565274	0.788107843377502
RiskScore	Dendritic_cells_activated	-0.149548841379807	0.0154082245994635
RiskScore	Mast_cells_resting	0.23892095276702	2.2960535429405e-06
RiskScore	Mast_cells_activated	0.00386251478248384	1
RiskScore	Eosinophils	0.270558653317611	3.69444426602457e-08
RiskScore	Neutrophils	-0.395671977239551	4.64690228076247e-18
